Timestamp,Building_ID,Energy_Usage (kWh),Temperature (°C),Humidity (%),Building_Type,Occupancy_Level
2025-01-06 02:00:00,B001,150.39,14.56,71.04,Industrial,Low
2025-01-06 03:00:00,B001,185.71,-1.53,48.22,Industrial,Medium
2025-01-06 04:00:00,B001,201.06,15.86,60.89,Industrial,High
2025-01-06 05:00:00,B001,408.01,-3.64,37.82,Industrial,High
2025-01-06 06:00:00,B001,380.14,27.8,62.7,Industrial,Low
2025-01-06 07:00:00,B001,124.22,-4.39,51.95,Industrial,Medium
2025-01-06 08:00:00,B001,354.71,20.72,67.72,Industrial,High
2025-01-06 09:00:00,B001,96.25,-2.25,55.86,Industrial,High
2025-01-06 10:00:00,B001,113.27,9.12,50.5,Industrial,Medium
2025-01-06 11:00:00,B001,361.3,20.34,88.8,Industrial,High
2025-01-06 12:00:00,B001,151.82,-4.07,83.22,Industrial,Medium
2025-01-06 13:00:00,B001,98.16,25.13,84.61,Industrial,Low
2025-01-06 14:00:00,B001,243.56,9.7,48.62,Industrial,Low
2025-01-06 15:00:00,B001,94.26,10.22,86.43,Industrial,Low
2025-01-06 16:00:00,B001,443.63,23.18,45.17,Industrial,Medium
2025-01-06 17:00:00,B001,170.6,31.05,67.99,Industrial,Medium
2025-01-06 18:00:00,B001,207.29,4.21,77.48,Industrial,High
2025-01-06 19:00:00,B001,218.89,18.2,38.77,Industrial,High
2025-01-06 20:00:00,B001,155.76,19.35,54.31,Industrial,Medium
2025-01-06 21:00:00,B001,128.28,-7.92,64.78,Industrial,Medium
2025-01-06 22:00:00,B001,171.33,26.89,89.96,Industrial,Medium
2025-01-06 23:00:00,B001,84.56,8.62,70.73,Industrial,Low
2025-01-07 00:00:00,B001,87.78,24.65,67.81,Industrial,Low
2025-01-07 01:00:00,B001,489.85,33.4,39.82,Industrial,Medium
2025-01-07 02:00:00,B001,284.78,-0.41,76.9,Industrial,Medium
2025-01-07 03:00:00,B001,220.24,-6.02,50.53,Industrial,Medium
2025-01-07 04:00:00,B001,238.52,13.16,72.54,Industrial,High
2025-01-07 05:00:00,B001,493.78,26.94,46.89,Industrial,Low
2025-01-07 06:00:00,B001,114.63,19.61,73.65,Industrial,High
2025-01-07 07:00:00,B001,467.94,12.35,80.58,Industrial,Medium
2025-01-07 08:00:00,B001,78.43,17.5,89.02,Industrial,High
2025-01-07 09:00:00,B001,212.55,18.68,34.24,Industrial,Medium
2025-01-07 10:00:00,B001,312.01,3.49,32.06,Industrial,Low
2025-01-07 11:00:00,B001,417.23,9.44,77.78,Industrial,Medium
2025-01-07 12:00:00,B001,450.96,26.61,72.9,Industrial,High
2025-01-07 13:00:00,B001,333.51,8.78,38.66,Industrial,Medium
2025-01-07 14:00:00,B001,339.67,2.47,56.98,Industrial,High
2025-01-07 15:00:00,B001,381.22,4.4,60.36,Industrial,Low
2025-01-07 16:00:00,B001,481.59,-1.34,73.04,Industrial,High
2025-01-07 17:00:00,B001,233.05,24.31,38.63,Industrial,High
2025-01-07 18:00:00,B001,475.47,18.45,56.12,Industrial,High
2025-01-07 19:00:00,B001,283.11,-9.66,55.36,Industrial,Low
2025-01-07 20:00:00,B001,115.48,29.51,46.15,Industrial,High
2025-01-07 21:00:00,B001,222.31,-2.0,51.1,Industrial,Medium
2025-01-07 22:00:00,B001,332.61,27.35,54.94,Industrial,Medium
2025-01-07 23:00:00,B001,382.52,-8.69,62.47,Industrial,Low
2025-01-08 00:00:00,B001,269.56,-0.81,67.61,Industrial,Low
2025-01-08 01:00:00,B001,498.04,11.61,59.15,Industrial,Medium
2025-01-08 02:00:00,B001,180.95,29.1,84.27,Industrial,Medium
2025-01-08 03:00:00,B001,373.41,16.38,59.54,Industrial,Medium
2025-01-08 04:00:00,B001,86.76,-0.2,45.02,Industrial,Medium
2025-01-08 05:00:00,B001,200.93,32.85,61.98,Industrial,High
2025-01-08 06:00:00,B001,336.69,30.44,57.39,Industrial,Medium
2025-01-08 07:00:00,B001,468.47,10.64,40.9,Industrial,High
2025-01-08 08:00:00,B001,149.21,-2.59,54.38,Industrial,Low
2025-01-08 09:00:00,B001,470.11,31.97,37.51,Industrial,High
2025-01-08 10:00:00,B001,87.9,34.31,69.98,Industrial,Low
2025-01-08 11:00:00,B001,371.7,9.34,48.39,Industrial,Low
2025-01-08 12:00:00,B001,484.02,3.02,58.78,Industrial,Low
2025-01-08 13:00:00,B001,353.04,17.65,83.55,Industrial,Low
2025-01-08 14:00:00,B001,279.12,-8.89,54.41,Industrial,High
2025-01-08 15:00:00,B001,289.99,34.82,78.03,Industrial,Low
2025-01-08 16:00:00,B001,157.55,2.66,54.67,Industrial,Medium
2025-01-08 17:00:00,B001,466.28,6.48,36.22,Industrial,High
2025-01-08 18:00:00,B001,202.33,-9.68,70.82,Industrial,High
2025-01-08 19:00:00,B001,233.57,34.11,69.01,Industrial,Low
2025-01-08 20:00:00,B001,64.18,-4.53,67.99,Industrial,Medium
2025-01-08 21:00:00,B001,215.93,24.64,78.66,Industrial,Low
2025-01-08 22:00:00,B001,429.88,-3.73,61.21,Industrial,Low
2025-01-08 23:00:00,B001,352.56,21.01,50.49,Industrial,High
2025-01-09 00:00:00,B001,421.49,25.61,42.05,Industrial,Medium
2025-01-09 01:00:00,B001,485.69,-3.35,86.45,Industrial,Low
2025-01-09 02:00:00,B001,72.44,-3.25,62.25,Industrial,Low
2025-01-09 03:00:00,B001,173.09,7.98,88.97,Industrial,High
2025-01-09 04:00:00,B001,276.18,1.6,72.08,Industrial,High
2025-01-09 05:00:00,B001,469.52,19.97,79.36,Industrial,Low
2025-01-09 06:00:00,B001,478.99,30.64,72.82,Industrial,Low
2025-01-09 07:00:00,B001,82.5,20.8,60.19,Industrial,Medium
2025-01-09 08:00:00,B001,268.38,-3.28,68.9,Industrial,High
2025-01-09 09:00:00,B001,436.97,-0.41,66.47,Industrial,Low
2025-01-09 10:00:00,B001,483.05,13.33,34.37,Industrial,Medium
2025-01-09 11:00:00,B001,169.8,-8.59,37.17,Industrial,Low
2025-01-09 12:00:00,B001,470.49,-0.71,74.1,Industrial,Low
2025-01-09 13:00:00,B001,109.61,14.61,62.77,Industrial,Medium
2025-01-09 14:00:00,B001,167.3,3.36,30.04,Industrial,Low
2025-01-09 15:00:00,B001,94.66,-5.92,45.76,Industrial,High
2025-01-09 16:00:00,B001,251.38,-5.41,30.96,Industrial,Medium
2025-01-09 17:00:00,B001,330.41,6.02,77.33,Industrial,Low
2025-01-09 18:00:00,B001,337.64,0.61,72.82,Industrial,Medium
2025-01-09 19:00:00,B001,107.06,29.0,65.61,Industrial,High
2025-01-09 20:00:00,B001,242.39,-2.76,72.02,Industrial,High
2025-01-09 21:00:00,B001,433.93,16.16,34.74,Industrial,Low
2025-01-09 22:00:00,B001,471.27,13.11,87.02,Industrial,Medium
2025-01-09 23:00:00,B001,288.17,16.3,77.81,Industrial,Low
2025-01-10 00:00:00,B001,412.46,5.24,33.33,Industrial,Medium
2025-01-10 01:00:00,B001,314.56,32.05,73.56,Industrial,High
2025-01-10 02:00:00,B001,157.25,25.73,59.19,Industrial,Low
2025-01-10 03:00:00,B001,98.07,0.75,86.96,Industrial,High
2025-01-10 04:00:00,B001,400.29,-2.33,56.84,Industrial,Low
2025-01-10 05:00:00,B001,65.82,4.54,62.65,Industrial,Medium
2025-01-10 06:00:00,B001,210.45,10.13,87.93,Industrial,Low
2025-01-10 07:00:00,B001,133.0,12.39,46.56,Industrial,Low
2025-01-10 08:00:00,B001,142.69,21.92,31.27,Industrial,High
2025-01-10 09:00:00,B001,270.18,2.87,73.37,Industrial,Low
2025-01-10 10:00:00,B001,142.24,23.39,33.14,Industrial,Medium
2025-01-10 11:00:00,B001,418.24,20.75,41.01,Industrial,High
2025-01-10 12:00:00,B001,375.21,4.37,84.35,Industrial,Medium
2025-01-10 13:00:00,B001,170.39,13.36,44.06,Industrial,Medium
2025-01-10 14:00:00,B001,138.19,32.47,88.59,Industrial,Low
2025-01-10 15:00:00,B001,194.69,-8.44,37.63,Industrial,Low
2025-01-10 16:00:00,B001,366.08,19.65,89.35,Industrial,Medium
2025-01-10 17:00:00,B001,352.43,-7.66,36.82,Industrial,High
2025-01-10 18:00:00,B001,222.52,27.67,81.92,Industrial,High
2025-01-10 19:00:00,B001,279.38,3.5,39.08,Industrial,High
2025-01-10 20:00:00,B001,350.13,-0.97,82.81,Industrial,High
2025-01-10 21:00:00,B001,84.87,-9.19,36.14,Industrial,Medium
2025-01-10 22:00:00,B001,469.94,18.68,78.11,Industrial,High
2025-01-10 23:00:00,B001,262.09,34.15,74.42,Industrial,High
2025-01-11 00:00:00,B001,402.42,-2.43,60.74,Industrial,Medium
2025-01-11 01:00:00,B001,231.63,34.71,40.49,Industrial,High
2025-01-11 02:00:00,B001,72.65,-7.17,41.24,Industrial,High
2025-01-11 03:00:00,B001,141.29,23.55,89.74,Industrial,Medium
2025-01-11 04:00:00,B001,272.07,31.54,30.95,Industrial,High
2025-01-11 05:00:00,B001,217.54,1.46,59.34,Industrial,Low
2025-01-11 06:00:00,B001,142.12,15.49,68.97,Industrial,Medium
2025-01-11 07:00:00,B001,73.77,18.16,33.27,Industrial,High
2025-01-11 08:00:00,B001,121.79,29.85,30.6,Industrial,Low
2025-01-11 09:00:00,B001,199.25,22.54,60.47,Industrial,High
2025-01-11 10:00:00,B001,99.56,7.53,44.46,Industrial,Medium
2025-01-11 11:00:00,B001,212.04,-5.96,45.41,Industrial,Low
2025-01-11 12:00:00,B001,95.42,-1.04,89.99,Industrial,High
2025-01-11 13:00:00,B001,361.37,-2.99,44.61,Industrial,Low
2025-01-11 14:00:00,B001,479.78,17.49,30.08,Industrial,Low
2025-01-11 15:00:00,B001,464.02,19.26,35.43,Industrial,Low
2025-01-11 16:00:00,B001,467.0,11.77,48.93,Industrial,Medium
2025-01-11 17:00:00,B001,449.94,21.16,44.61,Industrial,Low
2025-01-11 18:00:00,B001,97.18,2.06,61.21,Industrial,High
2025-01-11 19:00:00,B001,218.01,-3.19,77.91,Industrial,High
2025-01-11 20:00:00,B001,232.89,26.42,52.76,Industrial,High
2025-01-11 21:00:00,B001,332.69,-4.54,89.16,Industrial,Medium
2025-01-11 22:00:00,B001,209.72,12.64,59.6,Industrial,Low
2025-01-11 23:00:00,B001,299.34,-2.15,52.72,Industrial,High
2025-01-12 00:00:00,B001,339.9,19.28,82.01,Industrial,High
2025-01-12 01:00:00,B001,349.62,-0.3,43.26,Industrial,High
2025-01-12 02:00:00,B001,383.23,24.06,66.4,Industrial,Low
2025-01-12 03:00:00,B001,408.84,22.41,35.17,Industrial,High
2025-01-12 04:00:00,B001,451.34,2.92,49.66,Industrial,Medium
2025-01-12 05:00:00,B001,230.15,14.74,67.17,Industrial,Low
2025-01-12 06:00:00,B001,352.9,34.58,82.97,Industrial,High
2025-01-12 07:00:00,B001,433.19,-2.95,88.49,Industrial,High
2025-01-12 08:00:00,B001,456.36,-7.71,81.81,Industrial,High
2025-01-12 09:00:00,B001,186.38,18.72,51.0,Industrial,Low
2025-01-12 10:00:00,B001,348.99,10.37,80.13,Industrial,High
2025-01-12 11:00:00,B001,398.79,17.99,66.41,Industrial,Medium
2025-01-12 12:00:00,B001,137.72,27.21,63.76,Industrial,High
2025-01-12 13:00:00,B001,78.1,7.28,56.67,Industrial,Low
2025-01-12 14:00:00,B001,96.12,14.1,35.11,Industrial,Low
2025-01-12 15:00:00,B001,114.25,7.52,87.1,Industrial,Low
2025-01-12 16:00:00,B001,496.68,21.43,47.63,Industrial,Medium
2025-01-12 17:00:00,B001,87.47,22.61,48.69,Industrial,High
2025-01-12 18:00:00,B001,366.44,-9.02,67.87,Industrial,Medium
2025-01-12 19:00:00,B001,222.06,9.94,52.57,Industrial,Medium
2025-01-12 20:00:00,B001,286.68,26.4,51.71,Industrial,High
2025-01-12 21:00:00,B001,267.73,22.78,48.99,Industrial,Low
2025-01-12 22:00:00,B001,470.04,22.56,64.63,Industrial,Low
2025-01-12 23:00:00,B001,87.97,20.83,72.47,Industrial,Low
2025-01-13 00:00:00,B001,295.59,6.17,34.89,Industrial,Medium
2025-01-13 01:00:00,B001,350.9,4.19,70.96,Industrial,Medium
2025-01-13 02:00:00,B001,73.72,-8.31,73.03,Industrial,Medium
2025-01-13 03:00:00,B001,170.27,8.97,35.66,Industrial,Low
2025-01-13 04:00:00,B001,135.47,10.73,47.18,Industrial,High
2025-01-13 05:00:00,B001,340.36,19.29,79.47,Industrial,High
2025-01-13 06:00:00,B001,173.15,34.1,65.78,Industrial,Low
2025-01-13 07:00:00,B001,499.7,-2.11,30.61,Industrial,High
2025-01-13 08:00:00,B001,306.15,31.43,88.11,Industrial,Low
2025-01-13 09:00:00,B001,256.19,32.53,70.42,Industrial,Low
2025-01-13 10:00:00,B001,259.58,0.81,58.19,Industrial,Low
2025-01-13 11:00:00,B001,165.61,26.04,67.93,Industrial,High
2025-01-13 12:00:00,B001,77.05,31.22,66.93,Industrial,High
2025-01-13 13:00:00,B001,470.99,31.05,42.56,Industrial,Low
2025-01-13 14:00:00,B001,373.15,16.17,86.87,Industrial,Medium
2025-01-13 15:00:00,B001,450.43,17.02,61.8,Industrial,Low
2025-01-13 16:00:00,B001,340.52,30.14,73.97,Industrial,High
2025-01-13 17:00:00,B001,496.32,1.97,79.99,Industrial,Medium
2025-01-13 18:00:00,B001,89.66,8.61,75.01,Industrial,Medium
2025-01-13 19:00:00,B001,113.23,9.93,63.69,Industrial,High
2025-01-13 20:00:00,B001,198.29,9.83,81.42,Industrial,Low
2025-01-13 21:00:00,B001,296.95,25.83,64.98,Industrial,Low
2025-01-13 22:00:00,B001,347.15,13.52,31.42,Industrial,Medium
2025-01-13 23:00:00,B001,280.44,32.33,32.87,Industrial,High
2025-01-14 00:00:00,B001,228.22,-1.04,55.49,Industrial,Low
2025-01-14 01:00:00,B001,380.86,25.88,46.17,Industrial,High
2025-01-14 02:00:00,B001,111.79,5.14,65.2,Industrial,Low
2025-01-14 03:00:00,B001,120.61,32.64,76.01,Industrial,Medium
2025-01-14 04:00:00,B001,315.86,22.47,86.48,Industrial,Low
2025-01-14 05:00:00,B001,281.84,24.86,63.73,Industrial,Low
2025-01-14 06:00:00,B001,220.4,32.95,82.45,Industrial,Medium
2025-01-14 07:00:00,B001,170.99,-9.05,73.37,Industrial,High
2025-01-14 08:00:00,B001,139.19,-3.52,89.97,Industrial,Medium
2025-01-14 09:00:00,B001,267.9,-7.14,63.1,Industrial,Medium
2025-01-14 10:00:00,B001,72.32,-5.74,31.97,Industrial,High
2025-01-14 11:00:00,B001,457.99,-1.39,66.93,Industrial,High
2025-01-14 12:00:00,B001,153.68,20.83,88.91,Industrial,Medium
2025-01-14 13:00:00,B001,476.96,2.06,78.69,Industrial,Medium
2025-01-14 14:00:00,B001,433.39,6.05,45.68,Industrial,Low
2025-01-14 15:00:00,B001,394.86,19.61,79.43,Industrial,Medium
2025-01-14 16:00:00,B001,408.4,14.62,69.0,Industrial,Low
2025-01-14 17:00:00,B001,329.9,14.3,74.98,Industrial,High
2025-01-14 18:00:00,B001,333.44,6.19,54.35,Industrial,High
2025-01-14 19:00:00,B001,137.68,12.11,87.03,Industrial,High
2025-01-14 20:00:00,B001,240.97,22.16,66.23,Industrial,Medium
2025-01-14 21:00:00,B001,367.69,0.72,53.32,Industrial,Low
2025-01-14 22:00:00,B001,108.79,6.73,31.55,Industrial,High
2025-01-14 23:00:00,B001,285.94,33.33,66.46,Industrial,High
2025-01-15 00:00:00,B001,263.5,-9.55,35.09,Industrial,High
2025-01-15 01:00:00,B001,179.05,15.18,46.76,Industrial,High
2025-01-15 02:00:00,B001,357.43,-7.65,76.97,Industrial,Medium
2025-01-15 03:00:00,B001,409.59,12.88,43.97,Industrial,Low
2025-01-15 04:00:00,B001,386.26,-0.58,62.23,Industrial,Medium
2025-01-15 05:00:00,B001,151.55,-0.47,77.55,Industrial,High
2025-01-15 06:00:00,B001,80.0,34.94,31.49,Industrial,High
2025-01-15 07:00:00,B001,86.01,6.18,81.5,Industrial,Low
2025-01-15 08:00:00,B001,455.73,31.68,30.55,Industrial,High
2025-01-15 09:00:00,B001,466.38,29.06,59.98,Industrial,High
2025-01-15 10:00:00,B001,256.97,17.31,41.31,Industrial,Low
2025-01-15 11:00:00,B001,301.53,5.14,61.14,Industrial,Low
2025-01-15 12:00:00,B001,88.75,15.16,60.17,Industrial,Medium
2025-01-15 13:00:00,B001,384.62,23.76,49.04,Industrial,Low
2025-01-15 14:00:00,B001,313.54,-9.62,75.66,Industrial,Medium
2025-01-15 15:00:00,B001,178.35,14.93,30.1,Industrial,Low
2025-01-15 16:00:00,B001,446.63,16.71,66.47,Industrial,Medium
2025-01-15 17:00:00,B001,309.62,-3.03,51.37,Industrial,Low
2025-01-15 18:00:00,B001,302.05,7.39,55.21,Industrial,High
2025-01-15 19:00:00,B001,297.39,10.36,40.17,Industrial,Low
2025-01-15 20:00:00,B001,85.05,21.81,85.2,Industrial,Low
2025-01-15 21:00:00,B001,216.72,15.6,82.9,Industrial,Low
2025-01-15 22:00:00,B001,460.67,29.32,60.11,Industrial,Medium
2025-01-15 23:00:00,B001,234.64,11.18,32.95,Industrial,Medium
2025-01-01 00:00:00,B002,405.73,10.43,48.1,Residential,High
2025-01-01 01:00:00,B002,327.31,11.73,53.42,Residential,High
2025-01-01 02:00:00,B002,102.88,1.34,85.25,Residential,Low
2025-01-01 03:00:00,B002,250.86,14.78,86.67,Residential,High
2025-01-01 04:00:00,B002,284.06,11.36,45.5,Residential,Medium
2025-01-01 05:00:00,B002,454.82,25.19,41.72,Residential,High
2025-01-01 06:00:00,B002,393.84,1.15,32.18,Residential,Medium
2025-01-01 07:00:00,B002,288.69,19.83,65.41,Residential,High
2025-01-01 08:00:00,B002,275.76,22.65,36.79,Residential,Low
2025-01-01 09:00:00,B002,343.34,25.08,76.03,Residential,Medium
2025-01-01 10:00:00,B002,127.26,26.35,71.57,Residential,Medium
2025-01-01 11:00:00,B002,384.48,9.72,79.07,Residential,High
2025-01-01 12:00:00,B002,349.59,13.61,68.36,Residential,Low
2025-01-01 13:00:00,B002,458.09,16.43,35.12,Residential,Medium
2025-01-01 14:00:00,B002,390.36,25.74,59.68,Residential,High
2025-01-01 15:00:00,B002,90.72,12.39,45.78,Residential,Medium
2025-01-01 16:00:00,B002,135.3,30.15,55.86,Residential,High
2025-01-01 17:00:00,B002,439.25,4.43,40.7,Residential,Medium
2025-01-01 18:00:00,B002,284.53,-3.26,33.93,Residential,Low
2025-01-01 19:00:00,B002,183.28,15.75,56.51,Residential,Medium
2025-01-01 20:00:00,B002,224.63,25.82,48.35,Residential,High
2025-01-01 21:00:00,B002,469.69,7.75,77.56,Residential,Medium
2025-01-01 22:00:00,B002,205.53,26.35,44.78,Residential,High
2025-01-01 23:00:00,B002,307.1,17.34,61.39,Residential,Medium
